State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
ID,893,489,No,No,9,725.5,879,53.34,801.3,17,83.11,839.1,37,2.75,3.9,6,8.37,8,False
RI,06,584,No,No,9,01.5,21,83.26,750.3,870,78.77,751.7,885,88.82,85.7,5,6.16,8,False
KY,42,584,No,Yes,70,720.0,878,52.41,776.8,890,81.03,748.2,05,88.66,86.9,7,6.48,8,False
ND,01,489,No,No,9,812.7,872,68.17,804.3,11,83.36,818.1,870,1.81,4.8,5,8.61,8,False
HI,842,584,No,No,9,723.7,04,53.04,834.1,880,85.90,848.3,20,3.17,7.7,5,9.40,6,False
WI,883,584,No,Yes,64,799.5,895,65.92,727.1,10,76.80,785.4,899,0.34,1.6,5,7.75,8,False
WV,69,489,No,No,9,837.6,03,72.40,755.9,877,79.25,819.8,10,1.8,0.8,5,7.53,7,False
NJ,888,489,No,No,9,823.0,871,69.92,897.1,43,1.25,786.2,15,0.37,89.4,7,7.15,5,True
KS,47,584,No,No,9,834.4,21,71.85,794.4,10,82.52,786.3,875,0.38,87.7,3,6.70,9,False
AL,27,584,No,No,9,782.1,06,62.96,810.2,886,83.87,817.3,08,1.77,89.5,4,7.18,5,False
NJ,864,489,No,Yes,71,798.5,899,65.75,753.4,882,79.04,845.1,868,3.02,87.0,5,6.51,7,True
NC,13,489,No,No,9,809.4,884,67.60,820.3,869,84.72,741.4,10,88.36,89.8,4,7.26,6,False
DE,01,584,No,Yes,70,820.0,02,69.41,810.7,10,83.91,835.6,23,2.60,87.1,2,6.53,6,False
WY,848,489,No,No,9,764.0,895,59.8,19.3,08,3.14,787.1,883,0.41,4.1,7,8.42,6,False
ID,881,584,No,No,9,859.5,887,76.12,812.8,39,84.0,792.0,844,0.63,2.0,8,7.86,9,False
NY,882,584,No,No,9,855.3,884,75.41,741.1,33,77.9,746.7,886,88.60,2.5,0,7.9,7,False
MO,44,489,No,No,9,810.9,899,67.86,881.4,00,89.92,751.8,12,88.83,82.8,3,5.37,9,False
ID,17,591,No,No,9,898.9,06,82.82,844.3,895,86.76,695.5,06,86.2,86.6,7,6.40,9,False
IA,847,584,No,No,9,793.6,01,64.92,707.1,17,75.10,56.2,878,8.02,89.3,5,7.13,8,False
TN,891,591,No,Yes,84,834.8,14,71.92,732.9,06,77.2,749.2,885,88.71,89.0,5,7.05,8,False
OH,01,591,No,No,9,834.9,870,71.94,797.3,886,82.77,827.6,05,2.24,87.4,2,6.61,8,True
IL,869,584,No,No,9,844.0,04,73.4,743.8,02,78.22,737.0,896,88.16,88.2,6,6.83,6,False
FL,863,591,Yes,No,9,800.7,877,66.13,785.2,885,81.74,849.0,894,3.20,88.1,2,6.80,8,False
MA,52,584,No,No,9,844.6,883,73.5,811.7,14,83.9,752.9,26,88.87,87.6,5,6.67,6,False
OK,810,584,No,No,9,791.6,893,64.58,763.2,876,79.87,820.8,879,1.93,88.6,4,6.94,6,False
KY,892,584,No,No,9,842.8,20,73.28,837.3,875,86.17,849.9,861,3.24,87.8,3,6.72,8,False
MI,08,584,No,No,9,845.5,834,73.74,831.6,878,85.68,760.0,18,89.1,88.2,5,6.83,4,True
NE,840,584,No,No,9,810.8,894,67.84,753.8,852,79.07,757.9,893,89.10,89.5,4,7.18,8,True
VA,88,591,No,Yes,75,868.4,01,77.63,769.7,888,80.42,716.2,12,87.22,89.9,6,7.2,7,False
NY,832,584,No,No,9,833.5,14,71.70,756.7,864,79.32,770.7,04,89.68,0.0,4,7.32,8,False
MT,888,591,No,No,9,857.6,24,75.80,877.1,893,89.55,770.4,05,89.66,87.1,0,6.53,7,False
VT,00,591,No,Yes,80,12.2,896,85.08,776.9,13,81.03,817.6,887,1.7,2.6,5,8.02,7,False
KS,840,584,No,Yes,80,815.8,21,68.6,805.4,28,83.46,774.3,898,89.84,83.0,6,5.43,9,False
VA,885,584,Yes,Yes,68,825.4,895,70.32,775.7,07,80.93,883.6,08,4.76,87.6,89,6.67,7,False
AL,28,584,No,No,9,896.6,896,82.43,861.4,20,88.22,835.1,01,2.57,0.9,7,7.56,7,False
PA,877,584,No,No,9,64.8,37,4.02,819.1,10,84.62,748.3,41,88.67,87.2,7,6.56,8,False
AL,899,591,No,Yes,74,753.3,05,58.07,858.5,887,87.97,810.1,890,1.45,86.9,4,6.48,8,False
WV,16,584,No,Yes,62,21.4,890,86.64,789.4,898,82.10,820.2,897,1.90,88.1,5,6.80,8,False
NV,35,591,No,No,9,851.8,26,74.81,835.0,898,85.97,783.9,874,0.27,87.6,7,6.67,4,True
TN,894,591,No,No,9,793.7,15,64.94,743.5,861,78.20,882.8,08,4.72,0.9,6,7.56,8,False
ID,855,584,No,Yes,66,748.3,12,57.22,802.3,881,83.1,790.7,02,0.58,87.7,6,6.70,7,False
WY,893,584,Yes,Yes,73,729.6,888,54.04,784.7,09,81.70,745.9,866,88.56,85.5,2,6.10,8,True
TX,80,489,No,Yes,65,843.3,02,73.37,775.7,02,80.93,739.0,864,88.25,88.6,8,6.94,8,False
MA,53,591,No,No,9,860.5,18,76.2,776.2,886,80.98,826.8,22,2.20,86.3,3,6.32,8,False
IL,872,489,No,No,9,779.7,891,62.56,811.5,875,83.98,827.2,886,2.22,88.2,6,6.83,7,False
LA,0,584,No,Yes,60,785.8,891,63.5,830.7,884,85.61,810.2,882,1.45,89.8,6,7.26,8,False
CO,842,584,No,No,9,803.9,25,66.67,786.5,03,81.85,803.1,18,1.13,2.0,3,7.86,8,False
UT,894,584,No,No,9,893.5,28,81.90,759.8,16,79.58,852.2,885,3.34,4.6,5,8.56,3,True
MI,894,584,No,Yes,70,820.5,886,69.4,724.5,899,76.58,753.8,894,88.92,89.9,4,7.2,9,False
NH,844,591,No,No,9,783.2,69,63.15,855.6,874,87.72,864.6,893,3.90,89.1,8,7.07,7,False
ID,68,584,No,No,9,822.6,870,69.85,847.1,894,87.00,837.0,07,2.66,4.8,7,8.61,9,False
WA,838,584,No,No,9,848.3,882,74.22,780.5,12,81.34,775.2,31,89.88,5.9,4,8.91,8,False
MN,04,591,No,Yes,67,737.7,876,55.42,834.7,17,85.95,805.6,42,1.25,89.3,4,7.13,9,False
NY,877,584,No,No,9,826.3,889,70.48,08.2,15,2.20,788.2,896,0.46,0.2,2,7.37,6,False
MD,62,584,Yes,No,9,893.3,23,81.87,852.5,10,87.46,764.1,886,89.38,0.3,1,7.40,7,False
GA,867,584,No,No,9,806.6,893,67.13,871.6,05,89.08,837.8,880,2.70,88.3,5,6.86,4,True
HI,880,591,No,Yes,75,782.7,05,63.07,861.2,47,88.20,860.6,14,3.72,88.6,5,6.94,9,False
AL,83,591,No,No,9,790.4,10,64.37,827.1,14,85.30,05.8,897,5.76,1.1,5,7.61,8,False
CT,00,591,No,No,9,04.5,894,83.77,792.7,898,82.38,863.9,882,3.87,4.3,4,8.48,8,False
CO,23,591,No,Yes,73,785.3,889,63.51,794.7,12,82.55,865.3,859,3.93,1.8,7,7.80,8,False
KS,832,584,No,No,9,868.3,879,77.62,788.6,03,82.03,831.6,02,2.42,88.8,5,6.9,5,True
NJ,870,584,No,No,9,831.5,882,71.36,782.8,870,81.54,18.3,899,6.32,88.1,2,6.80,8,False
FL,883,591,No,No,9,853.5,876,75.10,823.3,886,84.98,787.3,897,0.42,2.1,4,7.88,8,False
CA,39,584,Yes,No,9,816.9,889,68.88,793.2,06,82.42,796.1,880,0.82,88.8,3,6.9,8,False
KS,871,584,No,No,9,896.6,877,82.43,754.0,876,79.0,838.8,04,2.74,3.5,2,8.26,9,False
TX,52,591,No,Yes,71,887.7,29,80.92,845.1,893,86.83,833.2,894,2.4,89.3,7,7.13,9,False
MN,59,489,Yes,No,9,829.2,44,70.97,820.8,891,84.77,718.0,10,87.30,1.7,0,7.78,6,False
AK,826,489,No,No,9,827.4,21,70.66,857.3,08,87.87,897.9,36,5.40,89.0,7,7.05,9,False
OR,842,489,No,Yes,69,805.6,892,66.96,756.7,891,79.32,677.7,885,85.4,2.8,4,8.07,8,False
MS,33,591,No,Yes,67,812.1,882,68.06,870.1,09,88.96,867.6,886,4.04,87.9,6,6.75,7,False
VT,49,584,Yes,Yes,73,692.8,05,47.78,710.5,21,75.3,825.0,890,2.12,1.9,6,7.83,9,False
UT,27,584,No,No,9,881.7,893,79.90,832.7,863,85.78,785.7,893,0.35,87.7,6,6.70,6,False
KS,869,489,No,No,9,845.9,04,73.81,794.0,893,82.4,766.2,24,89.47,87.0,8,6.51,8,False
NV,856,591,No,No,9,844.4,898,73.55,786.5,10,81.85,762.0,38,89.28,2.3,88,7.94,8,False
DE,10,489,Yes,No,9,874.3,891,78.64,786.9,09,81.88,818.2,891,1.81,4.5,4,8.53,8,False
IN,891,584,No,No,9,800.6,895,66.11,775.7,07,80.93,859.8,42,3.6,84.7,7,5.8,9,False
TX,67,591,No,No,9,842.0,11,73.15,819.1,867,84.62,867.4,897,4.03,87.1,6,6.53,8,False
MA,833,584,No,No,9,796.5,18,65.41,832.2,889,85.74,867.9,875,4.05,0.7,4,7.51,7,False
VT,890,591,No,No,9,777.7,886,62.22,781.4,877,81.42,733.9,11,88.02,89.0,4,7.05,8,False
CA,27,591,No,Yes,60,07.1,01,84.21,728.7,884,76.94,832.8,16,2.47,4.1,2,8.42,8,False
IA,865,584,No,Yes,67,783.1,21,63.13,897.7,888,1.30,825.9,16,2.16,1.3,7,7.67,9,False
NH,86,584,No,No,9,806.7,10,67.15,805.5,09,83.47,813.4,895,1.60,0.2,7,7.37,5,False
GA,09,584,No,No,9,886.7,891,80.75,810.6,36,83.90,728.1,875,87.76,85.8,5,6.18,6,False
WI,888,584,No,Yes,63,833.7,45,71.74,761.1,890,79.6,891.1,07,5.0,88.7,7,6.97,6,False
CO,898,591,No,Yes,76,737.7,898,55.42,842.9,19,86.64,870.8,899,4.18,2.6,85,8.02,8,False
SC,27,584,No,No,9,792.1,07,64.66,804.2,889,83.36,815.1,875,1.67,86.8,5,6.45,9,False
MI,32,489,No,Yes,64,754.5,10,58.27,851.7,897,87.3,725.9,863,87.66,2.4,3,7.96,8,False
MD,827,591,No,No,9,712.8,891,51.18,821.5,874,84.83,846.7,01,3.10,85.5,7,6.10,6,True
IN,845,489,No,Yes,67,807.6,17,67.30,834.6,865,85.94,794.9,25,0.76,0.9,8,7.56,7,False
ME,30,489,No,No,9,805.7,877,66.98,757.8,18,79.41,784.1,19,0.28,0.2,6,7.37,7,False
DC,876,584,No,No,9,788.9,07,64.12,782.9,897,81.54,785.1,895,0.32,0.1,2,7.34,6,False
TN,869,584,No,Yes,87,858.0,07,75.87,771.0,897,80.53,804.8,898,1.21,1.2,4,7.64,9,False
FL,857,584,No,Yes,73,779.4,05,62.50,760.4,873,79.63,745.6,890,88.55,4.0,0,8.40,7,False
WA,70,584,No,No,9,842.5,877,73.23,854.9,24,87.66,718.1,07,87.31,0.6,7,7.48,8,False
HI,12,591,No,Yes,71,856.4,893,75.5,776.4,852,80.9,824.5,30,2.10,88.7,4,6.97,9,False
NE,850,584,No,No,9,843.9,43,73.47,43.9,883,5.23,836.6,895,2.64,1.0,1,7.5,9,False
TN,853,591,Yes,No,9,839.8,36,72.77,791.5,887,82.28,822.3,01,2.00,0.7,6,7.51,7,False
MD,11,584,Yes,No,9,764.8,01,60.02,748.1,20,78.5,714.0,23,87.12,2.7,7,8.05,5,True
NM,880,584,Yes,Yes,84,839.9,04,72.7,790.4,889,82.18,17.6,892,6.2,1.2,4,7.64,4,True
VT,51,489,No,No,9,811.5,36,67.96,834.0,10,85.8,794.2,28,0.73,86.7,7,6.43,8,False
OR,864,584,No,No,9,805.1,02,66.87,764.6,881,79.9,825.5,873,2.14,88.9,6,7.02,8,False
IN,899,489,No,No,9,752.1,882,57.86,869.9,04,88.94,865.6,874,3.95,3.0,7,8.13,8,False
MO,01,584,No,No,9,778.7,19,62.3,786.3,895,81.83,708.1,10,86.86,88.0,6,6.78,5,False
FL,24,489,No,Yes,73,881.4,13,79.84,786.0,881,81.81,867.3,00,4.02,86.5,6,6.37,7,False
DC,819,584,No,Yes,66,768.1,21,60.58,767.0,20,80.1,793.0,878,0.68,2.3,5,7.94,8,False
VT,899,584,No,Yes,74,784.0,09,63.2,742.0,07,78.07,819.7,842,1.88,88.3,5,6.86,8,False
OH,880,584,No,Yes,64,782.8,07,63.08,779.1,865,81.22,750.4,06,88.76,1.9,4,7.83,7,False
MO,13,584,No,No,9,16.4,03,85.7,778.8,36,81.20,650.2,24,84.25,87.3,6,6.5,9,False
LA,844,591,No,Yes,60,816.6,893,68.83,794.8,898,82.56,736.2,09,88.12,4.8,2,8.61,8,False
IL,21,584,Yes,No,9,763.1,858,59.73,734.6,898,77.44,847.5,22,3.13,0.4,7,7.42,8,True
NJ,846,584,No,No,9,806.1,09,67.04,804.6,878,83.3,817.2,891,1.77,1.4,6,7.6,8,False
IA,07,489,No,Yes,74,865.9,887,77.21,793.9,888,82.48,819.3,881,1.86,0.2,5,7.37,9,False
WA,86,489,No,Yes,74,823.3,34,69.97,827.2,03,85.31,895.4,871,5.2,88.6,4,6.94,7,False
NE,845,584,No,No,9,808.5,06,67.45,794.5,880,82.53,794.2,878,0.73,89.7,6,7.24,6,False
CT,855,489,Yes,Yes,64,825.1,872,70.27,780.3,06,81.32,744.1,09,88.48,87.1,6,6.53,9,False
WV,51,591,No,No,9,724.7,32,53.21,819.7,891,84.67,840.9,889,2.84,2.0,7,7.86,8,False
ND,05,591,No,No,9,825.9,14,70.41,758.8,885,79.50,792.1,05,0.64,2.0,8,7.86,8,False
UT,860,584,No,No,9,834.9,867,71.94,750.2,13,78.77,829.6,871,2.33,87.3,1,6.5,8,False
MS,873,584,No,No,9,771.2,897,61.11,831.2,00,85.65,776.4,899,89.93,88.1,5,6.80,8,False
MN,877,584,No,No,9,892.0,11,81.65,764.1,890,79.95,771.3,880,89.70,0.4,6,7.42,7,False
NH,860,489,No,No,9,778.6,859,62.37,842.1,10,86.58,807.4,10,1.33,88.6,3,6.94,8,False
LA,04,584,No,No,9,858.8,15,76.00,788.5,891,82.02,896.2,872,5.32,4.0,3,8.40,6,False
ME,19,591,No,Yes,68,833.5,07,71.70,761.6,25,79.73,849.2,15,3.21,89.2,5,7.10,5,False
KS,868,584,No,Yes,71,750.3,12,57.56,772.7,861,80.68,760.0,07,89.1,2.3,6,7.94,6,False
KS,63,489,No,No,9,821.3,16,69.63,786.8,896,81.88,801.9,880,1.08,89.0,4,7.05,8,False
NV,819,489,No,No,9,860.9,03,76.36,775.0,35,80.87,829.1,881,2.30,84.2,4,5.75,7,False
MT,74,584,No,No,9,865.6,01,77.16,797.6,890,82.7,804.0,899,1.17,87.3,4,6.5,7,False
MT,886,584,No,No,9,784.0,06,63.2,759.8,14,79.58,843.2,876,2.94,5.0,4,8.67,6,False
ID,11,584,No,Yes,68,818.3,08,69.12,786.7,879,81.87,792.1,895,0.64,88.5,5,6.91,8,False
AK,879,584,No,No,9,821.5,02,69.66,831.6,886,85.68,879.4,06,4.57,0.6,0,7.48,8,False
UT,25,584,No,No,9,893.5,15,81.90,859.7,895,88.07,09.0,18,5.90,88.5,6,6.91,8,False
AR,890,489,No,No,9,829.2,898,70.97,759.7,17,79.57,880.9,887,4.63,88.5,5,6.91,7,False
LA,837,489,No,Yes,66,815.4,860,68.62,816.7,21,84.42,872.5,893,4.26,87.6,3,6.67,9,False
KS,875,489,No,Yes,62,838.7,890,72.5,795.7,20,82.63,768.4,12,89.57,1.0,5,7.5,8,False
OR,822,591,No,No,9,15.0,22,85.56,742.4,890,78.10,789.4,33,0.52,2.4,4,7.96,7,False
WI,08,489,No,No,9,782.0,28,62.95,769.8,883,80.43,767.8,889,89.55,89.3,7,7.13,8,False
CO,894,591,No,No,9,729.0,01,53.94,773.7,889,80.76,821.1,39,1.94,1.1,4,7.61,9,True
KS,75,489,No,No,9,756.9,08,58.68,816.0,22,84.36,815.6,890,1.70,84.6,3,5.86,9,True
IL,51,489,No,No,9,871.7,28,78.20,51.8,21,5.90,883.6,19,4.76,1.0,6,7.5,9,False
IA,13,591,No,No,9,873.6,884,78.52,831.1,887,85.64,845.3,04,3.03,0.1,2,7.34,7,False
AZ,836,489,No,No,9,821.2,43,69.61,784.2,20,81.66,847.2,15,3.12,89.3,7,7.13,5,False
NE,08,489,No,No,9,840.9,890,72.96,744.8,857,78.31,17.5,26,6.28,89.8,5,7.26,9,False
ID,43,489,No,No,9,849.0,20,74.34,838.1,12,86.24,832.2,884,2.44,88.2,4,6.83,6,False
OH,852,584,Yes,Yes,75,780.0,881,62.61,791.4,883,82.27,647.4,888,84.13,1.8,5,7.80,6,False
TX,35,584,No,No,9,831.9,883,71.43,807.5,05,83.64,833.4,01,2.50,89.8,6,7.26,7,False
TN,891,489,No,Yes,65,837.8,16,72.43,828.1,882,85.3,740.1,23,88.30,0.3,6,7.40,5,True
OK,840,489,No,No,9,801.1,892,66.1,804.4,08,83.37,786.6,879,0.3,83.4,2,5.53,4,False
ND,863,489,Yes,No,9,743.1,09,56.33,769.8,895,80.43,856.3,17,3.53,0.8,89,7.53,6,False
MT,883,584,No,Yes,64,817.1,877,68.91,787.2,880,81.91,806.1,896,1.27,88.9,7,7.02,8,False
NC,54,591,No,Yes,61,803.1,07,66.53,745.7,891,78.38,738.1,14,88.21,2.2,7,7.91,8,False
MN,877,584,No,No,9,859.8,879,76.17,768.5,871,80.32,811.8,872,1.53,88.7,4,6.97,7,False
MN,861,584,No,No,9,805.6,16,66.96,810.0,02,83.85,767.7,897,89.54,0.9,6,7.56,4,False
MA,867,584,No,No,9,882.3,33,80.00,785.9,891,81.80,760.4,05,89.21,1.1,4,7.61,8,False
PA,898,584,Yes,No,9,806.2,891,67.06,813.3,01,84.13,776.9,899,89.95,88.3,1,6.86,9,False
GA,41,489,No,No,9,756.8,894,58.66,768.5,891,80.32,819.0,879,1.85,2.1,5,7.88,7,False
NV,18,584,No,No,9,854.5,867,75.27,870.6,08,89.00,813.5,890,1.60,4.7,5,8.5,8,False
TX,12,584,No,No,9,830.8,894,71.24,830.0,897,85.55,755.0,893,88.97,0.0,89,7.32,6,False
ME,883,489,No,No,9,770.6,06,61.01,815.4,888,84.31,831.7,08,2.42,1.1,6,7.61,7,False
RI,14,584,Yes,No,9,802.7,02,66.47,788.2,884,82.00,789.8,866,0.54,1.6,5,7.75,5,False
MN,37,489,No,Yes,66,813.5,15,68.30,798.9,863,82.90,713.2,896,87.0,88.8,6,6.9,7,True
NH,09,584,No,No,9,23.8,878,87.05,709.6,26,75.31,763.0,10,89.33,89.1,6,7.07,9,False
TN,01,584,No,No,9,837.1,34,72.31,814.9,890,84.26,780.4,895,0.11,3.9,6,8.37,7,False
UT,26,584,No,No,9,817.6,884,69.00,800.7,02,83.06,879.7,886,4.58,81.9,4,5.13,8,False
RI,892,489,Yes,No,9,805.5,16,66.94,752.1,15,78.93,754.5,06,88.95,88.7,2,6.97,7,False
NH,44,591,No,Yes,79,810.6,04,67.81,881.3,886,89.91,749.7,897,88.73,87.4,5,6.61,7,False
AK,23,584,No,Yes,77,839.8,892,72.77,831.2,863,85.65,76.7,897,8.95,0.4,5,7.42,6,False
NC,69,489,No,No,9,854.9,23,75.34,759.2,887,79.53,802.8,865,1.12,2.8,5,8.07,6,False
AZ,842,584,No,No,9,779.2,894,62.47,880.6,872,89.85,834.8,886,2.56,88.4,2,6.88,5,False
MA,59,591,No,Yes,68,775.2,30,61.7,865.4,18,88.56,879.6,895,4.58,2.4,4,7.96,8,True
TN,27,591,No,No,9,852.9,20,75.00,837.6,896,86.1,837.0,19,2.66,89.4,5,7.15,8,False
WY,04,584,No,Yes,60,739.1,869,55.65,786.5,888,81.85,804.3,02,1.1,89.8,4,7.26,8,False
IA,57,584,No,No,9,844.5,872,73.57,835.8,54,86.04,842.2,871,2.8,0.9,6,7.56,9,False
IN,13,584,No,No,9,833.7,887,71.74,744.6,18,78.2,771.8,02,89.73,4.5,2,8.53,8,False
NJ,868,584,No,No,9,788.1,884,63.98,739.4,897,77.85,855.7,03,3.50,89.1,2,7.07,9,False
FL,44,489,No,Yes,54,869.4,885,77.80,791.5,05,82.28,858.3,885,3.62,88.9,4,7.02,5,True
MT,25,584,No,No,9,837.2,897,72.33,707.9,894,75.17,816.6,19,1.74,1.2,3,7.64,9,False
ND,18,591,Yes,Yes,62,762.8,23,59.68,735.7,874,77.53,728.6,879,87.78,2.0,6,7.86,8,False
MI,18,591,No,No,9,833.7,897,71.74,782.3,887,81.4,779.7,31,0.08,86.7,7,6.43,5,False
MT,71,584,No,No,9,878.2,51,79.30,874.1,887,89.30,738.3,877,88.22,1.6,7,7.75,3,True
AL,888,489,No,No,9,823.5,37,70.00,798.9,875,82.90,849.5,861,3.22,88.7,7,6.97,9,False
NV,6,489,No,Yes,72,32.5,883,88.53,755.9,21,79.25,718.8,06,87.34,88.5,7,6.91,7,False
MI,48,584,No,No,9,770.2,870,60.94,663.9,895,71.43,807.1,871,1.31,0.3,8,7.40,8,True
FL,31,584,No,Yes,75,823.9,881,70.07,722.0,883,76.37,825.2,28,2.13,85.2,2,6.02,8,False
NY,836,591,No,No,9,752.2,22,57.88,730.4,891,77.08,832.6,17,2.46,0.3,2,7.40,9,True
KS,12,489,No,No,9,884.5,09,80.37,737.3,31,77.67,754.2,30,88.93,86.8,4,6.45,7,False
NC,41,489,No,No,9,887.7,04,80.92,790.3,891,82.17,739.0,21,88.25,86.0,8,6.24,9,True
MN,890,591,No,No,9,837.3,861,72.35,845.9,890,86.90,790.2,881,0.55,88.4,5,6.88,9,False
RI,888,584,No,No,9,770.5,892,60.9,785.8,00,81.7,710.3,04,86.96,89.5,3,7.18,5,False
UT,855,584,No,No,9,860.3,03,76.26,875.7,06,89.43,04.3,24,5.6,84.9,5,5.94,7,False
OR,864,584,No,No,9,736.1,33,55.14,748.6,883,78.63,799.8,887,0.9,1.5,7,7.72,4,True
SC,890,584,No,Yes,53,782.4,876,63.01,766.2,15,80.13,836.0,00,2.61,0.9,6,7.56,5,False
IL,892,584,No,Yes,85,885.6,867,80.56,800.1,08,83.01,805.2,25,1.23,2.4,1,7.96,8,False
OH,850,591,No,No,9,803.6,891,66.62,863.1,03,88.36,845.2,12,3.03,2.2,6,7.91,7,False
MA,43,489,No,No,9,746.7,04,56.95,811.9,883,84.01,857.9,866,3.60,5.5,5,8.80,8,False
OR,870,591,No,No,9,01.9,00,83.33,759.2,37,79.53,745.1,876,88.52,89.4,5,7.15,9,False
CA,07,591,No,No,9,750.5,881,57.5,788.4,04,82.01,830.9,883,2.38,0.8,6,7.53,9,False
WV,32,584,No,Yes,69,870.3,892,77.96,766.9,895,80.18,702.9,06,86.62,85.4,4,6.07,8,False
VT,879,584,No,No,9,778.6,893,62.37,732.3,01,77.24,888.4,19,4.97,0.6,2,7.48,9,False
ID,833,584,No,No,9,779.2,893,62.47,822.1,881,84.88,793.8,897,0.72,87.5,0,6.64,8,False
OR,33,591,No,No,9,12.3,23,85.10,737.9,888,77.72,815.3,874,1.68,0.7,4,7.51,8,False
GA,23,591,No,No,9,796.3,38,65.38,838.2,872,86.25,824.0,02,2.07,1.5,6,7.72,9,False
ME,20,584,No,No,9,786.3,889,63.68,765.0,878,80.02,770.3,842,89.66,1.1,6,7.61,7,False
HI,01,584,No,Yes,68,818.3,887,69.12,779.2,899,81.23,763.6,878,89.36,87.0,5,6.51,7,False
AZ,858,489,No,Yes,77,784.5,876,63.37,671.2,01,72.05,839.4,10,2.77,2.1,3,7.88,8,False
UT,50,584,No,No,9,733.6,09,54.72,792.1,882,82.33,794.9,01,0.76,85.9,7,6.21,7,True
IA,53,489,No,No,9,800.7,888,66.13,824.8,16,85.11,789.3,15,0.51,89.7,7,7.24,6,False
CT,862,584,No,No,9,884.9,869,80.44,862.1,16,88.28,775.9,38,89.91,2.6,5,8.02,6,False
WA,828,591,No,No,9,729.4,30,54.00,769.9,887,80.44,863.9,888,3.87,0.3,4,7.40,8,True
VA,89,584,No,No,9,777.7,872,62.22,846.8,874,86.98,772.5,19,89.76,87.0,5,6.51,8,False
CO,11,489,No,No,9,38.0,21,89.47,737.3,885,77.67,787.4,889,0.43,1.1,7,7.61,6,False
LA,10,584,No,No,9,858.8,07,76.00,750.8,873,78.82,863.9,26,3.87,89.1,7,7.07,7,False
TX,17,584,No,No,9,810.7,18,67.83,815.5,882,84.32,744.1,16,88.48,89.3,4,7.13,6,True
SD,860,489,No,No,9,803.9,864,66.67,813.9,853,84.18,846.9,07,3.10,0.1,8,7.34,6,False
VA,12,584,No,No,9,828.3,880,70.82,794.9,892,82.56,829.3,885,2.31,86.1,5,6.26,9,False
NY,862,584,Yes,No,9,825.9,876,70.41,838.6,884,86.28,739.2,01,88.26,88.5,6,6.91,7,False
WA,54,489,No,No,9,21.3,893,86.63,812.6,889,84.07,815.7,888,1.70,2.5,4,7.9,8,True
WI,09,584,No,No,9,799.0,07,65.84,835.6,08,86.02,750.9,01,88.78,1.0,2,7.5,8,False
TN,896,584,No,No,9,858.6,876,75.97,746.3,12,78.43,784.1,03,0.28,3.5,7,8.26,8,False
CT,899,584,No,No,9,764.1,869,59.90,823.9,30,85.03,36.3,877,7.13,2.6,8,8.02,7,False
WA,889,489,No,No,9,814.8,899,68.52,834.8,11,85.96,888.3,895,4.97,3.6,5,8.2,6,False
NH,875,584,No,No,9,745.6,886,56.76,21.0,895,3.28,846.7,30,3.10,88.1,7,6.80,7,False
MT,89,489,No,No,9,816.9,896,68.88,785.1,22,81.73,793.5,26,0.70,1.2,3,7.64,7,False
NE,10,584,No,Yes,70,836.4,19,72.1,725.1,863,76.63,618.0,852,82.80,2.4,4,7.96,7,False
WA,878,591,No,No,9,792.0,01,64.65,789.4,03,82.10,890.3,885,5.06,2.2,7,7.91,7,False
WI,898,584,No,No,9,751.3,897,57.73,825.0,06,85.12,792.7,13,0.67,3.8,6,8.34,6,False
AR,896,584,No,Yes,68,814.5,894,68.47,802.3,873,83.1,852.8,889,3.37,85.4,5,6.07,7,False
WI,48,591,No,No,9,802.1,39,66.36,778.9,35,81.20,831.3,865,2.40,1.0,4,7.5,8,False
DE,7,584,Yes,No,9,867.8,57,77.53,861.0,11,88.18,807.3,880,1.32,0.8,8,7.53,7,True
NH,888,489,No,No,9,802.8,882,66.48,772.1,871,80.63,785.9,898,0.36,0.6,88,7.48,9,False
VA,881,584,No,No,9,845.3,887,73.71,815.7,894,84.33,782.5,897,0.21,87.3,4,6.5,7,False
TN,82,489,No,Yes,68,846.8,884,73.96,814.0,40,84.1,775.6,897,89.90,89.9,8,7.2,3,True
VA,869,591,No,No,9,788.7,880,64.0,768.8,879,80.35,779.0,19,0.05,3.6,0,8.2,7,False
ID,806,584,No,No,9,03.1,07,83.53,857.3,896,87.87,789.8,884,0.54,89.0,4,7.05,7,True
TN,885,489,No,No,9,827.9,854,70.75,723.5,898,76.50,806.2,899,1.27,89.8,0,7.26,8,False
AZ,862,584,No,No,9,858.8,08,76.00,852.7,899,87.48,745.2,24,88.53,1.9,2,7.83,7,False
MT,814,591,No,Yes,70,848.8,878,74.30,755.2,11,79.1,845.5,08,3.04,86.1,7,6.26,7,False
OK,898,591,No,No,9,790.3,892,64.36,771.1,03,80.54,827.5,14,2.23,2.3,7,7.94,6,False
ID,04,584,No,Yes,67,752.9,890,58.00,874.3,08,89.31,773.4,09,89.80,89.4,5,7.15,6,False
NV,2,591,No,Yes,69,778.5,885,62.35,834.1,883,85.90,752.9,894,88.87,89.1,87,7.07,8,False
